timestep_time;vehicle_id;vehicle_x;vehicle_y;vehicle_z
5.100;f_1.83;127.38;0.00;12.97
5.100;f_1.84;184.16;0.00;12.97
5.200;f_0.0;77.18;-0.04;9.48
5.200;f_1.81;-76.91;0.00;12.97
5.200;f_1.82;31.64;0.00;12.97
5.200;f_1.83;126.15;0.00;12.97
5.200;f_1.84;184.06;0.00;12.97
5.300;f_0.0;77.34;-0.04;9.48
5.300;f_1.81;-78.31;0.00;12.97
5.300;f_1.82;30.34;0.00;12.97
5.300;f_1.83;124.91;0.00;12.97
5.300;f_1.84;183.94;0.00;12.97
5.400;f_0.0;77.49;-0.04;9.48
5.400;f_1.81;-79.72;0.00;12.97
5.400;f_1.82;29.05;0.00;12.97
5.400;f_1.83;123.68;0.00;12.97
5.400;f_1.84;183.80;0.00;12.97
5.500;f_0.0;77.64;-0.04;9.48
5.500;f_1.81;-81.12;0.00;12.97
5.500;f_1.82;27.76;0.00;12.97
5.500;f_1.83;122.45;0.00;12.97
5.500;f_1.84;183.63;0.00;12.97
5.600;f_0.0;77.79;-0.04;9.48
5.600;f_1.81;-82.53;0.00;12.97
5.600;f_1.82;26.46;0.00;12.97
5.600;f_1.83;121.22;0.00;12.97
5.600;f_1.84;183.44;0.00;12.97
5.700;f_0.0;77.94;-0.04;9.48
5.700;f_1.81;-83.93;0.00;12.97
5.700;f_1.82;25.17;0.00;12.97
5.700;f_1.83;119.98;0.00;12.97
5.700;f_1.84;183.23;0.00;12.97
5.800;f_0.0;78.10;-0.04;9.48
5.800;f_1.81;-85.33;0.00;12.97
5.800;f_1.82;23.88;0.00;12.97
5.800;f_1.83;118.75;0.00;12.97
5.800;f_1.84;183.00;0.00;12.97
5.900;f_0.0;78.25;-0.04;9.48
5.900;f_1.81;-86.73;0.00;12.97
5.900;f_1.82;22.58;0.00;12.97
5.900;f_1.83;117.52;0.00;12.97
5.900;f_1.84;182.75;0.00;12.97
6.000;f_0.0;78.40;-0.04;9.48
6.000;f_1.81;-88.13;0.00;12.97
6.000;f_1.82;21.28;0.00;12.97
6.000;f_1.83;116.28;0.00;12.97
6.000;f_1.84;182.48;0.00;12.97
6.100;f_0.0;78.55;-0.04;9.48
6.100;f_1.81;-89.53;0.00;12.97
6.100;f_1.82;19.99;0.00;12.97
6.100;f_1.83;115.04;0.00;12.97
6.100;f_1.84;182.19;0.00;12.97
6.200;f_0.0;78.70;-0.04;9.48
6.200;f_1.81;-90.93;0.00;12.97
6.200;f_1.82;18.70;0.00;12.97
6.200;f_1.83;113.81;0.00;12.97
6.200;f_1.84;181.88;0.00;12.97
6.300;f_0.0;78.85;-0.04;9.48
6.300;f_1.81;-92.33;0.00;12.97
6.300;f_1.82;17.41;0.00;12.97
6.300;f_1.83;112.58;0.00;12.97
6.300;f_1.84;181.55;0.00;12.97
6.400;f_0.0;79.00;-0.04;9.48
6.400;f_1.81;-93.74;0.00;12.97
6.400;f_1.82;16.11;0.00;12.97
6.400;f_1.83;111.34;0.00;12.97
6.400;f_1.84;181.19;0.00;12.97
6.500;f_0.0;79.16;-0.04;9.48
6.500;f_1.81;-95.14;0.00;12.97
6.500;f_1.82;14.82;0.00;12.97
6.500;f_1.83;110.10;0.00;12.97
6.500;f_1.84;180.82;0.00;12.97
6.600;f_0.0;79.31;-0.04;9.48
6.600;f_1.81;-96.54;0.00;12.97
6.600;f_1.82;13.52;0.00;12.97
6.600;f_1.83;108.86;0.00;12.97
6.600;f_1.84;180.41;0.00;12.97
6.700;f_0.0;79.46;-0.04;9.48
6.700;f_1.81;-97.95;0.00;12.97
6.700;f_1.82;12.22;0.00;12.97
6.700;f_1.83;107.63;0.00;12.97
6.700;f_1.84;179.99;0.00;12.97
