Time(s);RTF
89.40;1.01
89.50;1.01
89.60;0.99
89.70;1.01
89.80;0.98
89.90;1.02
90.00;1.00
90.10;1.00
90.20;0.97
90.30;1.01
90.40;1.01
90.50;1.00
90.60;0.99
90.70;1.01
90.80;0.98
90.90;1.03
91.00;1.00
91.10;1.00
91.20;1.00
91.30;0.98
91.40;1.01
91.50;1.02
91.60;0.98
91.70;1.00
91.80;0.99
91.90;1.02
92.00;0.99
92.10;1.01
92.20;1.01
92.30;0.97
92.40;1.04
92.50;0.93
92.60;1.06
92.70;1.00
92.80;0.96
92.90;1.05
93.00;0.99
93.10;0.95
93.20;1.10
93.30;0.97
93.40;1.03
93.50;0.97
93.60;0.95
93.70;1.07
93.80;0.99
93.90;1.01
94.00;1.00
94.10;0.98
94.20;1.02
94.30;0.98
94.40;1.02
94.50;0.89
94.60;1.15
94.70;0.99
94.80;1.00
94.90;1.02
95.00;0.99
95.10;0.96
95.20;1.02
95.30;1.02
95.40;1.01
95.50;0.99
95.60;1.00
95.70;0.96
95.80;1.02
95.90;0.99
96.00;1.00
96.10;1.00
96.20;1.00
96.30;1.00
96.40;0.99
96.50;1.04
96.60;0.90
96.70;1.10
96.80;0.99
96.90;1.00
97.00;1.00
97.10;0.99
97.20;1.05
97.30;0.98
97.40;0.97
97.50;1.00
97.60;1.01
97.70;1.00
97.80;1.01
97.90;1.04
98.00;0.92
98.10;1.08
98.20;0.98
98.30;1.01
98.40;0.99
98.50;0.96
98.60;1.05
98.70;0.96
98.80;1.04
98.90;0.98
99.00;0.97
99.10;1.02
99.20;0.99
99.30;0.99
99.40;0.99
99.50;1.01
99.60;1.01
99.70;0.97
99.80;1.03
99.90;1.00
100.00;0.98
100.10;1.03
100.20;0.98
100.30;1.04
100.40;0.93
100.50;1.08
100.60;0.99
100.70;1.00
100.80;0.94
100.90;1.07
101.00;0.98
101.10;1.02
101.20;0.98
101.30;0.94
101.40;1.01
101.50;1.06
101.60;1.00
101.70;1.01
101.80;0.99
101.90;1.06
102.00;0.97
102.10;1.00
102.20;1.01
102.30;0.99
102.40;1.01
102.50;1.00
102.60;0.95
102.70;1.05
102.80;1.01
102.90;0.98
103.00;1.01
103.10;1.00
103.20;1.00
103.30;1.00
103.40;0.97
103.50;1.04
103.60;0.98
103.70;0.98
103.80;1.03
103.90;0.97
104.00;1.03
104.10;1.00
104.20;1.03
104.30;0.96
104.40;1.03
104.50;0.98
104.60;0.98
104.70;1.04
104.80;0.96
104.90;1.03
105.00;0.97
105.10;1.02
105.20;0.96
105.30;1.03
105.40;0.93
105.50;1.13
105.60;0.91
105.70;1.10
105.80;1.00
105.90;0.99
106.00;1.01
106.10;0.99
106.20;0.85
106.30;1.23
106.40;0.99
106.50;0.91
106.60;1.08
106.70;1.02
106.80;1.01
106.90;1.03
107.00;0.99
107.10;0.97
107.20;1.02
107.30;1.00
107.40;1.00
107.50;0.99
107.60;1.01
107.70;1.00
107.80;1.00
107.90;0.99
108.00;1.00
108.10;0.97
108.20;1.04
108.30;1.01
108.40;1.01
108.50;0.97
108.60;1.01
108.70;0.98
108.80;1.01
108.90;1.01
109.00;1.00
109.10;1.01
109.20;1.02
109.30;0.96
109.40;0.97
109.50;1.04
109.60;1.01
109.70;0.98
109.80;0.98
109.90;1.01
110.00;0.85
110.10;1.29
110.20;0.98
110.30;1.02
110.40;0.99
110.50;0.96
110.60;1.02
110.70;0.98
110.80;1.03
110.90;1.01
111.00;0.96
111.10;1.01
111.20;1.00
111.30;1.03
111.40;0.95
111.50;1.05
111.60;0.97
111.70;1.03
111.80;1.01
111.90;0.99
112.00;1.00
112.10;0.99
112.20;1.02
112.30;1.00
112.40;1.01
112.50;1.00
112.60;1.00
112.70;1.01
112.80;0.99
112.90;0.96
113.00;1.00
113.10;1.03
113.20;1.00
113.30;0.99
113.40;1.01
113.50;1.01
113.60;0.98
113.70;1.02
113.80;0.94
113.90;1.02
114.00;1.03
